date,国债ETF,纳指,创业板,黄金,沪深300
2021-09-03,713488.5732516542,713488.5732516542,,713488.5732516542,
2021-09-06,715242.1432648945,715242.1432648945,,715242.1432648945,
2021-09-07,714516.9748434928,714516.9748434928,,714516.9748434928,
2021-09-08,1067038.0309649433,1067038.0309649433,,,
2021-09-09,1064221.169152754,1064221.169152754,,,
2021-09-10,1062461.268611178,1062461.268611178,,,
2021-09-13,1059582.6440486237,1059582.6440486237,,,
2021-09-14,1056195.3213173556,1056195.3213173556,,,
2021-09-15,1055151.8295498318,1055151.8295498318,,,
2021-09-16,1057050.224316027,1057050.224316027,,,
2021-09-17,1060509.9595460517,1060509.9595460517,,,
2021-09-22,,,,,1676302.4280873006
2021-09-23,701832.5274337862,701832.5274337862,,,701832.5274337862
2021-09-24,702607.3126353553,702607.3126353553,,,702607.3126353553
2021-09-27,705553.107106139,705553.107106139,,,705553.107106139
2021-09-28,,1765412.5781368825,,,
2021-09-29,2077865.2868098884,,,,
2021-09-30,2078827.1770225533,,,,
2021-10-08,2075493.7299062496,,,,
2021-10-11,,,,,1742879.4918291974
2021-10-12,1027395.8797048307,,,1027395.8797048308,
2021-10-13,1027063.4935145937,,,1027063.4935145937,
2021-10-14,1033762.9345885874,,,1033762.9345885873,
2021-10-15,1032689.1394277642,,,1032689.1394277641,
2021-10-18,,,,,
2021-10-19,,1705744.661708692,,,
2021-10-20,,588556.7964207277,588556.7964207277,,588556.7964207277
2021-10-21,,596439.6283265675,596439.6283265675,,596439.6283265675
2021-10-22,,605026.5509230758,605026.5509230758,,605026.5509230758
2021-10-25,,613912.3115471473,613912.3115471473,,613912.3115471473
2021-10-26,,623170.2631977752,623170.2631977752,,623170.2631977752
2021-10-27,,,,,1783617.5975695308
2021-10-28,,,,,
2021-10-29,,621233.0197577442,621233.0197577442,,621233.0197577442
2021-11-01,,630987.8073108302,630987.8073108302,,630987.8073108302
2021-11-02,,,,,
2021-11-03,,,,,
2021-11-04,,,,,
2021-11-05,,,,,
2021-11-08,,,,,
